,currency,event,impact,previous_value,forecast_value,actual_value
79,USD,ISM Manufacturing Prices,Low Impact Expected,65.4,66.0,77.6
80,USD,Wards Total Vehicle Sales,Low Impact Expected,15.6M,15.8M,16.3M
81,USD,FOMC Member Evans Speaks,Low Impact Expected,,,
82,GBP,BRC Shop Price Index y/y,Low Impact Expected,-1.8%,,-1.8%
83,CNY,Caixin Services PMI,Low Impact Expected,57.8,58.1,56.3
84,JPY,10-y Bond Auction,Low Impact Expected,0.02|3.4,,0.02|3.4
85,JPY,Consumer Confidence,Low Impact Expected,33.7,32.6,31.8
86,EUR,Italian Bank Holiday,Non-Economic,,,
87,EUR,German Prelim CPI m/m,Low Impact Expected,-0.8%,0.6%,0.5%
88,EUR,French Prelim CPI m/m,Low Impact Expected,0.2%,0.4%,0.2%
89,EUR,Spanish Services PMI,Low Impact Expected,39.5,44.5,48.0
90,EUR,Italian Services PMI,Low Impact Expected,39.4,45.0,39.7
91,EUR,French Final Services PMI,Low Impact Expected,49.2,49.2,49.1
92,EUR,German Final Services PMI,Low Impact Expected,47.7,47.7,47.0
93,EUR,Final Services PMI,Low Impact Expected,47.3,47.4,46.4
94,GBP,Final Services PMI,Low Impact Expected,49.9,49.9,49.4
95,EUR,PPI m/m,Low Impact Expected,0.4%,0.2%,0.4%
96,GBP,10-y Bond Auction,Low Impact Expected,0.43|2.7,,0.33|2.9
97,EUR,German 10-y Bond Auction,Low Impact Expected,-0.57|2.0,,-0.52|1.6
98,USD,ADP Non-Farm Employment Change,Medium Impact Expected,304K,60K,-123K
99,GBP,BOE Gov Bailey Speaks,High Impact Expected,,,
100,USD,Final Services PMI,Low Impact Expected,55.3,55.2,54.8
101,USD,Factory Orders m/m,Low Impact Expected,1.3%,0.7%,1.0%
102,USD,Crude Oil Inventories,Low Impact Expected,-6.1M,-2.8M,-8.0M
103,USD,FOMC Meeting Minutes,High Impact Expected,,,
104,GBP,BRC Shop Price Index y/y,Low Impact Expected,-1.8%,,-1.8%
105,CNY,Caixin Services PMI,Low Impact Expected,57.8,58.1,56.3
106,JPY,10-y Bond Auction,Low Impact Expected,0.02|3.4,,0.02|3.4
107,JPY,Consumer Confidence,Low Impact Expected,33.7,32.6,31.8
108,EUR,Italian Bank Holiday,Non-Economic,,,
109,EUR,German Prelim CPI m/m,Low Impact Expected,-0.8%,0.6%,0.5%
110,EUR,French Prelim CPI m/m,Low Impact Expected,0.2%,0.4%,0.2%
111,EUR,Spanish Services PMI,Low Impact Expected,39.5,44.5,48.0
112,EUR,Italian Services PMI,Low Impact Expected,39.4,45.0,39.7
113,EUR,French Final Services PMI,Low Impact Expected,49.2,49.2,49.1
114,EUR,German Final Services PMI,Low Impact Expected,47.7,47.7,47.0
115,EUR,Final Services PMI,Low Impact Expected,47.3,47.4,46.4
116,GBP,Final Services PMI,Low Impact Expected,49.9,49.9,49.4
117,EUR,PPI m/m,Low Impact Expected,0.4%,0.2%,0.4%
118,GBP,10-y Bond Auction,Low Impact Expected,0.43|2.7,,0.33|2.9
119,EUR,German 10-y Bond Auction,Low Impact Expected,-0.57|2.0,,-0.52|1.6
120,USD,ADP Non-Farm Employment Change,Medium Impact Expected,304K,60K,-123K
121,GBP,BOE Gov Bailey Speaks,High Impact Expected,,,
122,USD,Final Services PMI,Low Impact Expected,55.3,55.2,54.8
123,USD,Factory Orders m/m,Low Impact Expected,1.3%,0.7%,1.0%
124,USD,Crude Oil Inventories,Low Impact Expected,-6.1M,-2.8M,-8.0M
125,USD,FOMC Meeting Minutes,High Impact Expected,,,
126,JPY,Average Cash Earnings y/y,Low Impact Expected,-0.7%,-0.9%,-2.2%
127,AUD,Building Approvals m/m,Low Impact Expected,3.3%,1.9%,2.6%
128,AUD,Goods Trade Balance,Low Impact Expected,6.58B,6.45B,5.02B
129,EUR,German Factory Orders m/m,Low Impact Expected,3.3%,-0.6%,2.3%
130,CHF,Retail Sales y/y,Low Impact Expected,4.3%,3.5%,1.7%
131,EUR,ECB Economic Bulletin,Low Impact Expected,,,
132,GBP,Construction PMI,Low Impact Expected,54.7,54.6,54.6
133,GBP,Housing Equity Withdrawal q/q,Low Impact Expected,-9.0B,-7.0B,-7.0B
134,EUR,Core CPI Flash Estimate y/y,Low Impact Expected,0.2%,0.2%,0.2%
135,EUR,CPI Flash Estimate y/y,Low Impact Expected,-0.3%,-0.2%,-0.3%
136,EUR,Italian Prelim CPI m/m,Low Impact Expected,-0.1%,0.2%,0.3%
137,EUR,Retail Sales m/m,Low Impact Expected,1.4%,-3.4%,-6.1%
138,EUR,French 10-y Bond Auction,Low Impact Expected,-0.26|2.1,,-0.33|1.9
139,USD,Challenger Job Cuts y/y,Low Impact Expected,45.4%,,134.5%
140,CAD,Trade Balance,Low Impact Expected,-3.7B,-3.6B,-3.3B
141,USD,Unemployment Claims,Medium Impact Expected,790K,798K,787K
142,USD,Trade Balance,Low Impact Expected,-63.1B,-66.7B,-68.1B
143,CAD,Ivey PMI,Medium Impact Expected,52.7,53.1,46.7
144,USD,ISM Services PMI,Medium Impact Expected,55.9,54.5,57.2
145,USD,Natural Gas Storage,Low Impact Expected,-114B,-142B,-130B
146,USD,FOMC Member Evans Speaks,Low Impact Expected,,,
147,JPY,Average Cash Earnings y/y,Low Impact Expected,-0.7%,-0.9%,-2.2%
148,AUD,Building Approvals m/m,Low Impact Expected,3.3%,1.9%,2.6%
149,AUD,Goods Trade Balance,Low Impact Expected,6.58B,6.45B,5.02B
150,EUR,German Factory Orders m/m,Low Impact Expected,3.3%,-0.6%,2.3%
151,CHF,Retail Sales y/y,Low Impact Expected,4.3%,3.5%,1.7%
152,EUR,ECB Economic Bulletin,Low Impact Expected,,,
153,GBP,Construction PMI,Low Impact Expected,54.7,54.6,54.6
154,GBP,Housing Equity Withdrawal q/q,Low Impact Expected,-9.0B,-7.0B,-7.0B
155,EUR,Core CPI Flash Estimate y/y,Low Impact Expected,0.2%,0.2%,0.2%
156,EUR,CPI Flash Estimate y/y,Low Impact Expected,-0.3%,-0.2%,-0.3%
157,EUR,Italian Prelim CPI m/m,Low Impact Expected,-0.1%,0.2%,0.3%
158,EUR,Retail Sales m/m,Low Impact Expected,1.4%,-3.4%,-6.1%
159,EUR,French 10-y Bond Auction,Low Impact Expected,-0.26|2.1,,-0.33|1.9
160,USD,Challenger Job Cuts y/y,Low Impact Expected,45.4%,,134.5%
161,CAD,Trade Balance,Low Impact Expected,-3.7B,-3.6B,-3.3B
162,USD,Unemployment Claims,Medium Impact Expected,790K,798K,787K
163,USD,Trade Balance,Low Impact Expected,-63.1B,-66.7B,-68.1B
164,CAD,Ivey PMI,Medium Impact Expected,52.7,53.1,46.7
165,USD,ISM Services PMI,Medium Impact Expected,55.9,54.5,57.2
166,USD,Natural Gas Storage,Low Impact Expected,-114B,-142B,-130B
167,USD,FOMC Member Evans Speaks,Low Impact Expected,,,
168,JPY,Household Spending y/y,Low Impact Expected,1.9%,-1.0%,1.1%
169,JPY,30-y Bond Auction,Low Impact Expected,0.65|3.5,,0.65|3.0
170,JPY,Leading Indicators,Low Impact Expected,94.3%,96.6%,96.6%
171,CHF,Unemployment Rate,Low Impact Expected,3.4%,3.4%,3.4%
172,EUR,German Industrial Production m/m,Low Impact Expected,3.4%,0.7%,0.9%
173,EUR,German Trade Balance,Low Impact Expected,18.2B,18.5B,16.4B
174,EUR,French Consumer Spending m/m,Low Impact Expected,3.9%,-15.8%,-18.9%
175,EUR,French Industrial Production m/m,Low Impact Expected,1.9%,-1.0%,-0.9%
176,EUR,French Trade Balance,Low Impact Expected,-4.6B,-4.9B,-3.6B
177,CHF,Foreign Currency Reserves,Low Impact Expected,877B,,891B
178,GBP,Halifax HPI m/m,Low Impact Expected,1.0%,1.0%,0.2%
179,EUR,Italian Monthly Unemployment Rate,Low Impact Expected,9.5%,10.0%,8.9%
180,EUR,Unemployment Rate,Low Impact Expected,8.4%,8.5%,8.3%
181,CAD,Employment Change,High Impact Expected,62.1K,-32.5K,-62.6K
182,CAD,Unemployment Rate,High Impact Expected,8.5%,8.7%,8.6%
183,USD,Average Hourly Earnings m/m,High Impact Expected,0.3%,0.2%,0.8%
184,USD,Non-Farm Employment Change,High Impact Expected,336K,60K,-140K
185,USD,Unemployment Rate,High Impact Expected,6.7%,6.8%,6.7%
186,USD,Final Wholesale Inventories m/m,Low Impact Expected,-0.1%,-0.1%,0.0%
187,USD,FOMC Member Clarida Speaks,Low Impact Expected,,,
188,USD,Consumer Credit m/m,Low Impact Expected,4.5B,9.0B,15.3B
189,JPY,Household Spending y/y,Low Impact Expected,1.9%,-1.0%,1.1%
190,JPY,30-y Bond Auction,Low Impact Expected,0.65|3.5,,0.65|3.0
191,JPY,Leading Indicators,Low Impact Expected,94.3%,96.6%,96.6%
192,CHF,Unemployment Rate,Low Impact Expected,3.4%,3.4%,3.4%
193,EUR,German Industrial Production m/m,Low Impact Expected,3.4%,0.7%,0.9%
194,EUR,German Trade Balance,Low Impact Expected,18.2B,18.5B,16.4B
195,EUR,French Consumer Spending m/m,Low Impact Expected,3.9%,-15.8%,-18.9%
196,EUR,French Industrial Production m/m,Low Impact Expected,1.9%,-1.0%,-0.9%
197,EUR,French Trade Balance,Low Impact Expected,-4.6B,-4.9B,-3.6B
198,CHF,Foreign Currency Reserves,Low Impact Expected,877B,,891B
199,GBP,Halifax HPI m/m,Low Impact Expected,1.0%,1.0%,0.2%
200,EUR,Italian Monthly Unemployment Rate,Low Impact Expected,9.5%,10.0%,8.9%
201,EUR,Unemployment Rate,Low Impact Expected,8.4%,8.5%,8.3%
202,CAD,Employment Change,High Impact Expected,62.1K,-32.5K,-62.6K
203,CAD,Unemployment Rate,High Impact Expected,8.5%,8.7%,8.6%
204,USD,Average Hourly Earnings m/m,High Impact Expected,0.3%,0.2%,0.8%
205,USD,Non-Farm Employment Change,High Impact Expected,336K,60K,-140K
206,USD,Unemployment Rate,High Impact Expected,6.7%,6.8%,6.7%
207,USD,Final Wholesale Inventories m/m,Low Impact Expected,-0.1%,-0.1%,0.0%
208,USD,FOMC Member Clarida Speaks,Low Impact Expected,,,
209,USD,Consumer Credit m/m,Low Impact Expected,4.5B,9.0B,15.3B
210,AUD,MI Inflation Gauge m/m,Low Impact Expected,0.3%,,0.5%
211,JPY,Bank Holiday,Non-Economic,,,
212,CNY,CPI y/y,Low Impact Expected,-0.5%,0.0%,0.2%
213,CNY,PPI y/y,Low Impact Expected,-1.5%,-0.7%,-0.4%
214,EUR,Sentix Investor Confidence,Low Impact Expected,-2.7,2.0,1.3
215,GBP,MPC Member Tenreyro Speaks,Low Impact Expected,,,
216,CAD,BOC Business Outlook Survey,Medium Impact Expected,,,
217,USD,FOMC Member Bostic Speaks,Low Impact Expected,,,
218,AUD,MI Inflation Gauge m/m,Low Impact Expected,0.3%,,0.5%
219,JPY,Bank Holiday,Non-Economic,,,
220,CNY,CPI y/y,Low Impact Expected,-0.5%,0.0%,0.2%
221,CNY,PPI y/y,Low Impact Expected,-1.5%,-0.7%,-0.4%
222,EUR,Sentix Investor Confidence,Low Impact Expected,-2.7,2.0,1.3
223,GBP,MPC Member Tenreyro Speaks,Low Impact Expected,,,
224,CAD,BOC Business Outlook Survey,Medium Impact Expected,,,
225,USD,FOMC Member Bostic Speaks,Low Impact Expected,,,
226,JPY,Bank Lending y/y,Low Impact Expected,6.2%,6.5%,6.2%
227,JPY,Current Account,Low Impact Expected,1.98T,2.00T,2.34T
228,GBP,BRC Retail Sales Monitor y/y,Low Impact Expected,7.7%,5.9%,4.8%
229,JPY,Economy Watchers Sentiment,Low Impact Expected,45.6,36.9,35.5
230,EUR,Italian Retail Sales m/m,Low Impact Expected,0.5%,-4.5%,-6.9%
231,GBP,MPC Member Broadbent Speaks,Medium Impact Expected,,,
232,USD,NFIB Small Business Index,Low Impact Expected,101.4,100.1,95.9
233,CNY,M2 Money Supply y/y,Low Impact Expected,10.7%,10.7%,10.1%
234,CNY,New Loans,Low Impact Expected,1430B,1250B,1260B
235,USD,FOMC Member Brainard Speaks,Low Impact Expected,,,
236,USD,JOLTS Job Openings,Low Impact Expected,6.63M,6.42M,6.53M
237,USD,RCM/TIPP Economic Optimism,Low Impact Expected,49.0,50.1,50.1
238,USD,10-y Bond Auction,Low Impact Expected,0.95|2.3,,1.16|2.5
239,JPY,Bank Lending y/y,Low Impact Expected,6.2%,6.5%,6.2%
240,JPY,Current Account,Low Impact Expected,1.98T,2.00T,2.34T
241,GBP,BRC Retail Sales Monitor y/y,Low Impact Expected,7.7%,5.9%,4.8%
242,JPY,Economy Watchers Sentiment,Low Impact Expected,45.6,36.9,35.5
243,EUR,Italian Retail Sales m/m,Low Impact Expected,0.5%,-4.5%,-6.9%
244,GBP,MPC Member Broadbent Speaks,Medium Impact Expected,,,
245,USD,NFIB Small Business Index,Low Impact Expected,101.4,100.1,95.9
246,CNY,M2 Money Supply y/y,Low Impact Expected,10.7%,10.7%,10.1%
247,CNY,New Loans,Low Impact Expected,1430B,1250B,1260B
248,USD,FOMC Member Brainard Speaks,Low Impact Expected,,,
249,USD,JOLTS Job Openings,Low Impact Expected,6.63M,6.42M,6.53M
250,USD,RCM/TIPP Economic Optimism,Low Impact Expected,49.0,50.1,50.1
251,USD,10-y Bond Auction,Low Impact Expected,0.95|2.3,,1.16|2.5
252,JPY,M2 Money Stock y/y,Low Impact Expected,9.1%,9.2%,9.2%
253,NZD,ANZ Commodity Prices m/m,Low Impact Expected,0.9%,,1.8%
254,CNY,New Home Prices m/m,Low Impact Expected,0.12%,,0.12%
255,JPY,Prelim Machine Tool Orders y/y,Low Impact Expected,8.6%,,8.7%
256,EUR,German WPI m/m,Low Impact Expected,0.1%,0.1%,0.6%
257,EUR,ECB President Lagarde Speaks,Medium Impact Expected,,,
258,EUR,Italian Industrial Production m/m,Low Impact Expected,1.4%,-0.4%,-1.4%
259,EUR,Industrial Production m/m,Low Impact Expected,2.3%,0.2%,2.5%
260,USD,CPI y/y,High Impact Expected,1.2%,1.4%,1.4%
261,USD,Core CPI m/m,Medium Impact Expected,0.2%,0.1%,0.1%
262,USD,CPI m/m,Medium Impact Expected,0.2%,0.4%,0.4%
263,USD,Crude Oil Inventories,Low Impact Expected,-8.0M,-3.2M,-3.2M
264,USD,FOMC Member Brainard Speaks,Low Impact Expected,,,
265,USD,30-y Bond Auction,Low Impact Expected,1.67|2.5,,1.83|2.5
266,USD,Beige Book,Low Impact Expected,,,
267,USD,Federal Budget Balance,Low Impact Expected,-145.3B,-144.5B,-143.6B
268,USD,FOMC Member Clarida Speaks,Low Impact Expected,,,
269,JPY,M2 Money Stock y/y,Low Impact Expected,9.1%,9.2%,9.2%
270,NZD,ANZ Commodity Prices m/m,Low Impact Expected,0.9%,,1.8%
271,CNY,New Home Prices m/m,Low Impact Expected,0.12%,,0.12%
272,JPY,Prelim Machine Tool Orders y/y,Low Impact Expected,8.6%,,8.7%
273,EUR,German WPI m/m,Low Impact Expected,0.1%,0.1%,0.6%
274,EUR,ECB President Lagarde Speaks,Medium Impact Expected,,,
275,EUR,Italian Industrial Production m/m,Low Impact Expected,1.4%,-0.4%,-1.4%
276,EUR,Industrial Production m/m,Low Impact Expected,2.3%,0.2%,2.5%
277,USD,CPI y/y,High Impact Expected,1.2%,1.4%,1.4%
278,USD,Core CPI m/m,Medium Impact Expected,0.2%,0.1%,0.1%
279,USD,CPI m/m,Medium Impact Expected,0.2%,0.4%,0.4%
280,USD,Crude Oil Inventories,Low Impact Expected,-8.0M,-3.2M,-3.2M
281,USD,FOMC Member Brainard Speaks,Low Impact Expected,,,
282,USD,30-y Bond Auction,Low Impact Expected,1.67|2.5,,1.83|2.5
283,USD,Beige Book,Low Impact Expected,,,
284,USD,Federal Budget Balance,Low Impact Expected,-145.3B,-144.5B,-143.6B
285,USD,FOMC Member Clarida Speaks,Low Impact Expected,,,
286,NZD,Building Consents m/m,Low Impact Expected,8.9%,,1.2%
287,JPY,Core Machinery Orders m/m,Low Impact Expected,17.1%,-6.4%,1.5%
288,JPY,PPI y/y,Low Impact Expected,-2.3%,-2.2%,-2.0%
289,GBP,RICS House Price Balance,Low Impact Expected,66%,61%,65%
290,CNY,USD-Denominated Trade Balance,Low Impact Expected,75.4B,72.0B,78.2B
291,CNY,Trade Balance,Low Impact Expected,507B,466B,517B
292,EUR,ECB Monetary Policy Meeting Accounts,Low Impact Expected,,,
293,USD,Import Prices m/m,Low Impact Expected,0.2%,0.7%,0.9%
294,USD,Unemployment Claims,Low Impact Expected,784K,785K,965K
295,GBP,CB Leading Index m/m,Low Impact Expected,-1.7%,,-2.1%
296,USD,Natural Gas Storage,Low Impact Expected,-130B,-129B,-134B
297,USD,Fed Chair Powell Speaks,High Impact Expected,,,
298,NZD,Building Consents m/m,Low Impact Expected,8.9%,,1.2%
299,JPY,Core Machinery Orders m/m,Low Impact Expected,17.1%,-6.4%,1.5%
300,JPY,PPI y/y,Low Impact Expected,-2.3%,-2.2%,-2.0%
301,GBP,RICS House Price Balance,Low Impact Expected,66%,61%,65%
302,CNY,USD-Denominated Trade Balance,Low Impact Expected,75.4B,72.0B,78.2B
303,CNY,Trade Balance,Low Impact Expected,507B,466B,517B
304,EUR,ECB Monetary Policy Meeting Accounts,Low Impact Expected,,,
305,USD,Import Prices m/m,Low Impact Expected,0.2%,0.7%,0.9%
306,USD,Unemployment Claims,Low Impact Expected,784K,785K,965K
307,GBP,CB Leading Index m/m,Low Impact Expected,-1.7%,,-2.1%
308,USD,Natural Gas Storage,Low Impact Expected,-130B,-129B,-134B
309,USD,Fed Chair Powell Speaks,High Impact Expected,,,
310,NZD,FPI m/m,Low Impact Expected,-0.9%,,0.1%
311,USD,President Biden Speaks,High Impact Expected,,,
312,JPY,Tertiary Industry Activity m/m,Low Impact Expected,1.6%,0.3%,-0.7%
313,GBP,Construction Output m/m,Low Impact Expected,1.5%,0.8%,1.9%
314,GBP,GDP m/m,Low Impact Expected,0.6%,-4.6%,-2.6%
315,GBP,Goods Trade Balance,Low Impact Expected,-13.3B,-11.1B,-16.0B
316,GBP,Index of Services 3m/3m,Low Impact Expected,10.0%,2.5%,3.7%
317,GBP,Industrial Production m/m,Low Impact Expected,1.1%,0.5%,-0.1%
318,GBP,Manufacturing Production m/m,Low Impact Expected,1.6%,1.0%,0.7%
319,EUR,French Final CPI m/m,Low Impact Expected,0.2%,0.2%,0.2%
320,EUR,French Gov Budget Balance,Low Impact Expected,-159.9B,,-176.8B
321,EUR,Trade Balance,Low Impact Expected,25.2B,22.3B,25.1B
322,GBP,NIESR GDP Estimate,Low Impact Expected,4.1%,,0.9%
323,USD,Core Retail Sales m/m,High Impact Expected,-1.3%,-0.1%,-1.4%
324,USD,Retail Sales m/m,High Impact Expected,-1.4%,0.0%,-0.7%
325,USD,Core PPI m/m,Low Impact Expected,0.1%,0.1%,0.1%
326,USD,Empire State Manufacturing Index,Low Impact Expected,4.9,5.7,3.5
327,USD,PPI m/m,Low Impact Expected,0.1%,0.4%,0.3%
328,USD,Capacity Utilization Rate,Low Impact Expected,73.4%,73.4%,74.5%
329,USD,Industrial Production m/m,Low Impact Expected,0.5%,0.5%,1.6%
330,USD,Business Inventories m/m,Low Impact Expected,0.8%,0.5%,0.5%
331,USD,Prelim UoM Consumer Sentiment,Low Impact Expected,80.7,79.5,79.2
332,USD,Prelim UoM Inflation Expectations,Low Impact Expected,2.5%,,3.0%
333,NZD,FPI m/m,Low Impact Expected,-0.9%,,0.1%
334,USD,President Biden Speaks,High Impact Expected,,,
335,JPY,Tertiary Industry Activity m/m,Low Impact Expected,1.6%,0.3%,-0.7%
336,GBP,Construction Output m/m,Low Impact Expected,1.5%,0.8%,1.9%
337,GBP,GDP m/m,Low Impact Expected,0.6%,-4.6%,-2.6%
338,GBP,Goods Trade Balance,Low Impact Expected,-13.3B,-11.1B,-16.0B
339,GBP,Index of Services 3m/3m,Low Impact Expected,10.0%,2.5%,3.7%
340,GBP,Industrial Production m/m,Low Impact Expected,1.1%,0.5%,-0.1%
341,GBP,Manufacturing Production m/m,Low Impact Expected,1.6%,1.0%,0.7%
342,EUR,French Final CPI m/m,Low Impact Expected,0.2%,0.2%,0.2%
343,EUR,French Gov Budget Balance,Low Impact Expected,-159.9B,,-176.8B
344,EUR,Trade Balance,Low Impact Expected,25.2B,22.3B,25.1B
345,GBP,NIESR GDP Estimate,Low Impact Expected,4.1%,,0.9%
346,USD,Core Retail Sales m/m,High Impact Expected,-1.3%,-0.1%,-1.4%
347,USD,Retail Sales m/m,High Impact Expected,-1.4%,0.0%,-0.7%
348,USD,Core PPI m/m,Low Impact Expected,0.1%,0.1%,0.1%
349,USD,Empire State Manufacturing Index,Low Impact Expected,4.9,5.7,3.5
350,USD,PPI m/m,Low Impact Expected,0.1%,0.4%,0.3%
351,USD,Capacity Utilization Rate,Low Impact Expected,73.4%,73.4%,74.5%
352,USD,Industrial Production m/m,Low Impact Expected,0.5%,0.5%,1.6%
353,USD,Business Inventories m/m,Low Impact Expected,0.8%,0.5%,0.5%
354,USD,Prelim UoM Consumer Sentiment,Low Impact Expected,80.7,79.5,79.2
355,USD,Prelim UoM Inflation Expectations,Low Impact Expected,2.5%,,3.0%
356,GBP,Rightmove HPI m/m,Low Impact Expected,-0.6%,,-0.9%
357,CNY,GDP q/y,High Impact Expected,4.9%,6.2%,6.5%
358,CNY,Fixed Asset Investment ytd/y,Low Impact Expected,2.6%,3.3%,2.9%
359,CNY,Industrial Production y/y,Low Impact Expected,7.0%,6.9%,7.3%
360,CNY,NBS Press Conference,Low Impact Expected,,,
361,CNY,Retail Sales y/y,Low Impact Expected,5.0%,5.5%,4.6%
362,CNY,Unemployment Rate,Low Impact Expected,5.2%,5.2%,5.2%
363,JPY,Revised Industrial Production m/m,Low Impact Expected,0.0%,0.0%,-0.5%
364,EUR,Eurogroup Meetings,Low Impact Expected,,,
365,EUR,German Buba Monthly Report,Low Impact Expected,,,
366,USD,Bank Holiday,Non-Economic,,,
367,CAD,Housing Starts,Low Impact Expected,261K,230K,228K
